state_id,language_id
1,1
2,2
3,3
4,4
5,5
6,6
6,7
7,8
7,9
7,4
8,10
8,11
8,12
9,13
10,12
11,14
11,15
12,16
13,17
13,4
14,18
15,19
15,20
16,9
17,21
18,4
19,14
20,22
21,23
22,24
22,25
23,26
24,27
24,7
25,28
26,4
27,29
28,30
28,9
28,4
29,31
29,25
30,32
31,9
32,33
33,8
34,34
34,1
35,35
36,36
37,37
38,32
39,7
40,26
41,11
42,38
43,39
44,40
45,20
46,9
46,4
46,26
47,15
48,41
49,25
50,26
