5    110    0
5.01    109.560878243513    3.32373017997156e-014
5.02    109.123505976096    4.96686025641679e-014
5.03    108.687872763419    1.18849374786123e-013
5.04    108.253968253968    1.42739986497276e-013
5.05    107.821782178218    1.71584968455818e-013
5.06    107.391304347826    1.8833545833985e-013
5.07    106.962524654832    2.42680875395251e-013
5.08    106.535433070866    2.50764686793303e-013
5.09    106.110019646365    2.71505040672082e-013
5.1    105.686274509804    2.9872632145711e-013
5.11    105.264187866928    3.61231877743506e-013
5.12    104.84375    3.73957809163272e-013
5.13    104.424951267057    3.77101128101742e-013
5.14    104.007782101167    3.77461950584745e-013
5.15    103.592233009709    4.24368873375158e-013
5.16    103.178294573643    4.34284552763842e-013
5.17    102.765957446809    4.55149806732891e-013
5.18    102.355212355212    4.75244843478606e-013
5.19    101.946050096339    5.20847254215084e-013
5.2    101.538461538462    5.27564103514067e-013
5.21    101.132437619962    5.18932119497606e-013
5.22    100.727969348659    5.13908360311177e-013
5.23    100.325047801147    5.36501398862299e-013
5.24    99.9236641221374    5.25551824281933e-013
5.25    99.5238095238095    5.06178432502224e-013
5.26    99.1254752851711    4.92314522482218e-013
5.27    98.7286527514232    4.71483962982688e-013
5.28    98.3333333333333    5.0245918536973e-013
5.29    97.9395085066162    4.9109327715513e-013
5.3    97.5471698113208    4.78089789979208e-013
5.31    97.1563088512241    4.59118854045926e-013
5.32    96.7669172932331    4.61200522217098e-013
5.33    96.3789868667917    4.47308856621476e-013
5.34    95.9925093632959    4.35484981409218e-013
5.35    95.607476635514    4.26617075000024e-013
5.36    95.2238805970149    4.67417771154999e-013
5.37    94.8417132216015    4.78131423342631e-013
5.38    94.4609665427509    5.02362040855076e-013
5.39    94.0816326530612    5.09342568122406e-013
5.4    93.7037037037037    5.59205459715884e-013
5.41    93.3271719038817    5.78578851495593e-013
5.42    92.9520295202952    6.03947447608277e-013
5.43    92.5782688766114    6.14307216206811e-013
5.44    92.2058823529412    6.37295771710455e-013
5.45    91.8348623853211    6.33285091033997e-013
5.46    91.4652014652015    6.32972840808321e-013
5.47    91.0968921389397    6.24944540561501e-013
5.48    90.7299270072993    6.51992348998931e-013
5.49    90.3642987249545    6.36421471078563e-013
5.5    90    6.25277607468888e-013
5.51    89.6370235934664    6.16548478937773e-013
5.52    89.2753623188406    6.22654705573211e-013
5.53    88.9150090415913    6.60929644347164e-013
5.54    88.5559566787004    6.62872534640258e-013
5.55    88.1981981981982    6.62206400825482e-013
5.56    87.8417266187051    6.70977162720021e-013
5.57    87.4865350089766    7.19299619866831e-013
5.58    87.1326164874552    7.25072779594882e-013
5.59    86.7799642218247    7.17315096210314e-013
5.6    86.4285714285714    7.28528348759028e-013
5.61    86.078431372549    7.49858508619639e-013
5.62    85.729537366548    7.58199059092135e-013
5.63    85.3818827708703    7.7426259847968e-013
5.64    85.0354609929078    7.98458521522605e-013
5.65    84.6902654867257    8.51305137494762e-013
5.66    84.3462897526502    8.74203487377656e-013
5.67    84.0035273368607    8.93632390308596e-013
5.68    83.6619718309859    9.18015663486926e-013
5.69    83.3216168717047    9.82512682323744e-013
5.7    82.9824561403509    1.00026931182384e-012
5.71    82.6444833625219    1.01255115403376e-012
5.72    82.3076923076923    1.02794162071262e-012
5.73    81.9720767888307    1.08391767783544e-012
5.74    81.6376306620209    1.12031217636144e-012
5.75    81.304347826087    1.14798448525022e-012
5.76    80.9722222222222    1.15032983138974e-012
5.77    80.6412478336222    1.16977261210849e-012
5.78    80.3114186851211    1.22044041539482e-012
5.79    79.9827288428325    1.25402466188973e-012
5.8    79.6551724137931    1.28003163624157e-012
5.81    79.328743545611    1.31220034838009e-012
5.82    79.0034364261168    1.36990419008498e-012
5.83    78.6792452830189    1.39925571129851e-012
5.84    78.3561643835616    1.44900758058952e-012
5.85    78.034188034188    1.49481121924921e-012
5.86    77.7133105802048    1.57183988047649e-012
5.87    77.3935264054514    1.62873881048853e-012
5.88    77.0748299319728    1.69910613356805e-012
5.89    76.7572156196944    1.74694286814159e-012
5.9    76.4406779661017    1.83792564500962e-012
5.91    76.1252115059222    1.8952617253376e-012
5.92    75.8108108108108    1.94082250271066e-012
5.93    75.4974704890388    1.98456528988089e-012
5.94    75.1851851851852    2.06380745826351e-012
5.95    74.8739495798319    2.11983208764366e-012
5.96    74.5637583892617    2.17811879643648e-012
5.97    74.2546063651591    2.22838414387638e-012
5.98    73.9464882943144    2.32596580884703e-012
5.99    73.6393989983305    2.37763975174943e-012
6    73.3333333333333    2.43953468537228e-012
6.01    73.0282861896839    2.48837755956188e-012
6.02    72.7242524916943    2.57782684087715e-012
6.03    72.4212271973466    2.63217225793255e-012
6.04    72.1192052980132    2.66932309589407e-012
6.05    71.8181818181818    2.68955691051787e-012
6.06    71.5181518151815    2.70983929739899e-012
6.07    71.2191103789127    2.75431066842913e-012
6.08    70.9210526315789    2.77099176937412e-012
6.09    70.623973727422    2.78967127176344e-012
6.1    70.327868852459    2.80626910598158e-012
6.11    70.0327332242226    2.83363610353859e-012
6.12    69.7385620915033    2.83201934125898e-012
6.13    69.4453507340946    2.8256494366552e-012
6.14    69.1530944625407    2.82358858516574e-012
6.15    68.8617886178862    2.83609941087448e-012
6.16    68.5714285714286    2.81584477956898e-012
6.17    68.2820097244733    2.80911405248219e-012
6.18    67.9935275080906    2.79876122277756e-012
6.19    67.7059773828756    2.82134038354087e-012
6.2    67.4193548387097    2.80690748422074e-012
6.21    67.133655394525    2.78935208264386e-012
6.22    66.8488745980708    2.77509959456523e-012
6.23    66.5650080256822    2.77544653926043e-012
