t:      z:         z':
0.931   0.205482   -0.984583
0.932   0.204498   -0.984187
0.933   0.203514   -0.983787
0.934   0.20253   -0.983386
0.935   0.201547   -0.982981
0.936   0.200564   -0.982574
0.937   0.199582   -0.982164
0.938   0.1986   -0.981752
0.939   0.197618   -0.981338
0.94   0.196637   -0.98092
0.941   0.195656   -0.9805
0.942   0.194676   -0.980078
0.943   0.193696   -0.979652
0.944   0.192717   -0.979225
0.945   0.191738   -0.978794
0.946   0.190759   -0.978361
0.947   0.189781   -0.977926
0.948   0.188803   -0.977488
0.949   0.187826   -0.977047
0.95   0.186849   -0.976604
0.951   0.185873   -0.976158
0.952   0.184897   -0.975709
0.953   0.183921   -0.975258
0.954   0.182946   -0.974804
0.955   0.181972   -0.974348
0.956   0.180998   -0.973889
0.957   0.180024   -0.973428
0.958   0.179051   -0.972963
0.959   0.178078   -0.972497
0.96   0.177106   -0.972027
0.961   0.176134   -0.971556
0.962   0.175163   -0.971081
0.963   0.174192   -0.970604
0.964   0.173221   -0.970124
0.965   0.172252   -0.969642
0.966   0.171282   -0.969157
0.967   0.170313   -0.96867
0.968   0.169345   -0.96818
0.969   0.168377   -0.967687
0.97   0.167409   -0.967192
0.971   0.166443   -0.966694
0.972   0.165476   -0.966193
0.973   0.16451   -0.96569
0.974   0.163545   -0.965185
0.975   0.16258   -0.964676
0.976   0.161615   -0.964166
0.977   0.160651   -0.963652
0.978   0.159688   -0.963136
0.979   0.158725   -0.962617
0.98   0.157763   -0.962096
0.981   0.156801   -0.961572
0.982   0.15584   -0.961046
0.983   0.154879   -0.960517
0.984   0.153919   -0.959986
0.985   0.152959   -0.959451
0.986   0.152   -0.958915
0.987   0.151041   -0.958375
0.988   0.150083   -0.957833
0.989   0.149125   -0.957289
0.99   0.148168   -0.956742
0.991   0.147212   -0.956192
0.992   0.146256   -0.95564
0.993   0.145301   -0.955085
0.994   0.144346   -0.954527
0.995   0.143392   -0.953967
0.996   0.142438   -0.953405
0.997   0.141485   -0.952839
0.998   0.140532   -0.952271
0.999   0.13958   -0.951701
1   0.138629   -0.951128
1.001   0.137678   -0.950552
1.002   0.136728   -0.949974
1.003   0.135778   -0.949394
1.004   0.134829   -0.94881
1.005   0.13388   -0.948224
1.006   0.132933   -0.947636
1.007   0.131985   -0.947045
1.008   0.131038   -0.946451
1.009   0.130092   -0.945855
1.01   0.129147   -0.945256
1.011   0.128202   -0.944654
1.012   0.127257   -0.94405
1.013   0.126314   -0.943444
1.014   0.125371   -0.942835
1.015   0.124428   -0.942223
1.016   0.123486   -0.941609
1.017   0.122545   -0.940992
1.018   0.121604   -0.940372
1.019   0.120664   -0.93975
1.02   0.119725   -0.939126
1.021   0.118786   -0.938499
1.022   0.117848   -0.937869
1.023   0.11691   -0.937237
1.024   0.115973   -0.936602
1.025   0.115037   -0.935964
1.026   0.114101   -0.935324
1.027   0.113166   -0.934682
1.028   0.112232   -0.934036
1.029   0.111298   -0.933389
1.03   0.110365   -0.932738
1.031   0.109433   -0.932086
1.032   0.108501   -0.93143
1.033   0.10757   -0.930772
1.034   0.106639   -0.930112
1.035   0.10571   -0.929448
1.036   0.10478   -0.928783
1.037   0.103852   -0.928115
1.038   0.102924   -0.927444
1.039   0.101997   -0.92677
1.04   0.101071   -0.926094
1.041   0.100145   -0.925416
1.042   0.0992198   -0.924735
1.043   0.0982955   -0.924051
1.044   0.0973717   -0.923365
1.045   0.0964487   -0.922677
1.046   0.0955264   -0.921985
1.047   0.0946048   -0.921292
1.048   0.0936838   -0.920595
1.049   0.0927636   -0.919896
1.05   0.091844   -0.919195
1.051   0.0909252   -0.918491
1.052   0.090007   -0.917784
1.053   0.0890896   -0.917075
1.054   0.0881729   -0.916364
1.055   0.0872569   -0.91565
1.056   0.0863416   -0.914933
1.057   0.085427   -0.914214
1.058   0.0845132   -0.913492
1.059   0.0836   -0.912768
1.06   0.0826876   -0.912041
1.061   0.081776   -0.911312
1.062   0.080865   -0.91058
1.063   0.0799548   -0.909845
1.064   0.0790453   -0.909108
1.065   0.0781366   -0.908369
1.066   0.0772286   -0.907627
1.067   0.0763213   -0.906882
1.068   0.0754148   -0.906135
1.069   0.0745091   -0.905386
1.07   0.073604   -0.904633
1.071   0.0726998   -0.903879
1.072   0.0717963   -0.903122
1.073   0.0708935   -0.902362
1.074   0.0699916   -0.9016
1.075   0.0690903   -0.900835
1.076   0.0681899   -0.900068
1.077   0.0672902   -0.899298
1.078   0.0663913   -0.898526
1.079   0.0654932   -0.897751
1.08   0.0645958   -0.896974
1.081   0.0636992   -0.896194
1.082   0.0628034   -0.895412
1.083   0.0619084   -0.894627
1.084   0.0610142   -0.89384
1.085   0.0601207   -0.89305
1.086   0.0592281   -0.892258
1.087   0.0583362   -0.891463
1.088   0.0574451   -0.890666
1.089   0.0565549   -0.889866
1.09   0.0556654   -0.889064
1.091   0.0547767   -0.888259
1.092   0.0538889   -0.887452
1.093   0.0530018   -0.886642
1.094   0.0521156   -0.88583
1.095   0.0512302   -0.885015
1.096   0.0503456   -0.884198
1.097   0.0494618   -0.883378
1.098   0.0485788   -0.882556
1.099   0.0476967   -0.881731
1.1   0.0468154   -0.880904
1.101   0.0459349   -0.880074
1.102   0.0450552   -0.879242
1.103   0.0441764   -0.878408
1.104   0.0432984   -0.877571
1.105   0.0424212   -0.876731
1.106   0.0415449   -0.875889
1.107   0.0406695   -0.875045
1.108   0.0397948   -0.874198
1.109   0.0389211   -0.873349
1.11   0.0380481   -0.872497
1.111   0.0371761   -0.871643
1.112   0.0363049   -0.870786
1.113   0.0354345   -0.869927
1.114   0.034565   -0.869065
1.115   0.0336964   -0.868201
1.116   0.0328286   -0.867335
1.117   0.0319617   -0.866466
1.118   0.0310957   -0.865594
1.119   0.0302305   -0.864721
1.12   0.0293662   -0.863844
1.121   0.0285028   -0.862966
1.122   0.0276403   -0.862084
1.123   0.0267787   -0.861201
1.124   0.0259179   -0.860315
1.125   0.025058   -0.859426
1.126   0.0241991   -0.858535
1.127   0.023341   -0.857642
1.128   0.0224838   -0.856746
1.129   0.0216275   -0.855848
1.13   0.0207721   -0.854948
1.131   0.0199176   -0.854045
1.132   0.019064   -0.853139
1.133   0.0182113   -0.852231
1.134   0.0173595   -0.851321
1.135   0.0165087   -0.850409
1.136   0.0156587   -0.849494
1.137   0.0148097   -0.848576
1.138   0.0139616   -0.847656
1.139   0.0131144   -0.846734
1.14   0.0122681   -0.845809
1.141   0.0114227   -0.844882
1.142   0.0105783   -0.843953
1.143   0.00973484   -0.843021
1.144   0.00889229   -0.842087
1.145   0.00805067   -0.84115
1.146   0.00720999   -0.840211
1.147   0.00637025   -0.83927
1.148   0.00553145   -0.838326
1.149   0.0046936   -0.83738
1.15   0.00385669   -0.836431
1.151   0.00302073   -0.83548
1.152   0.00218573   -0.834527
1.153   0.00135168   -0.833571
1.154   0.000518588   -0.832613
1.155   -0.000313545   -0.831653
1.156   -0.00114472   -0.83069
1.157   -0.00197493   -0.829725
1.158   -0.00280417   -0.828758
1.159   -0.00363244   -0.827788
1.16   -0.00445974   -0.826816
1.161   -0.00528607   -0.825841
1.162   -0.00611142   -0.824864
1.163   -0.0069358   -0.823885
1.164   -0.00775919   -0.822904
1.165   -0.0085816   -0.82192
1.166   -0.00940303   -0.820934
1.167   -0.0102235   -0.819945
1.168   -0.0110429   -0.818954
1.169   -0.0118614   -0.817961
1.17   -0.0126788   -0.816965
1.171   -0.0134953   -0.815967
1.172   -0.0143108   -0.814967
1.173   -0.0151252   -0.813965
1.174   -0.0159387   -0.81296
1.175   -0.0167512   -0.811953
1.176   -0.0175626   -0.810943
1.177   -0.018373   -0.809932
1.178   -0.0191825   -0.808918
1.179   -0.0199909   -0.807901
1.18   -0.0207983   -0.806883
1.181   -0.0216046   -0.805862
1.182   -0.02241   -0.804838
1.183   -0.0232143   -0.803813
1.184   -0.0240176   -0.802785
1.185   -0.0248199   -0.801755
1.186   -0.0256211   -0.800722
1.187   -0.0264213   -0.799688
1.188   -0.0272205   -0.798651
1.189   -0.0280186   -0.797612
1.19   -0.0288157   -0.79657
1.191   -0.0296118   -0.795526
1.192   -0.0304068   -0.79448
1.193   -0.0312007   -0.793432
1.194   -0.0319936   -0.792381
1.195   -0.0327855   -0.791329
1.196   -0.0335763   -0.790274
1.197   -0.034366   -0.789216
1.198   -0.0351547   -0.788157
1.199   -0.0359424   -0.787095
1.2   -0.0367289   -0.786031
1.201   -0.0375144   -0.784964
1.202   -0.0382988   -0.783896
1.203   -0.0390822   -0.782825
1.204   -0.0398645   -0.781752
1.205   -0.0406457   -0.780677
1.206   -0.0414259   -0.779599
1.207   -0.0422049   -0.77852
1.208   -0.0429829   -0.777438
1.209   -0.0437598   -0.776354
1.21   -0.0445356   -0.775268
1.211   -0.0453103   -0.774179
1.212   -0.046084   -0.773088
1.213   -0.0468565   -0.771995
1.214   -0.0476279   -0.7709
1.215   -0.0483983   -0.769803
1.216   -0.0491675   -0.768703
1.217   -0.0499357   -0.767602
1.218   -0.0507028   -0.766498
1.219   -0.0514687   -0.765392
1.22   -0.0522335   -0.764283
1.221   -0.0529973   -0.763173
1.222   -0.0537599   -0.76206
1.223   -0.0545214   -0.760946
1.224   -0.0552818   -0.759829
1.225   -0.056041   -0.758709
1.226   -0.0567992   -0.757588
1.227   -0.0575562   -0.756465
1.228   -0.0583121   -0.755339
1.229   -0.0590669   -0.754211
1.23   -0.0598205   -0.753082
1.231   -0.0605731   -0.75195
1.232   -0.0613244   -0.750815
1.233   -0.0620747   -0.749679
1.234   -0.0628238   -0.748541
1.235   -0.0635718   -0.7474
1.236   -0.0643186   -0.746257
1.237   -0.0650643   -0.745113
1.238   -0.0658088   -0.743966
1.239   -0.0665522   -0.742817
1.24   -0.0672945   -0.741665
1.241   -0.0680355   -0.740512
1.242   -0.0687755   -0.739357
1.243   -0.0695143   -0.738199
1.244   -0.0702519   -0.73704
1.245   -0.0709883   -0.735878
1.246   -0.0717236   -0.734714
1.247   -0.0724578   -0.733549
1.248   -0.0731907   -0.732381
1.249   -0.0739225   -0.731211
1.25   -0.0746531   -0.730039
1.251   -0.0753826   -0.728864
1.252   -0.0761109   -0.727688
1.253   -0.076838   -0.72651
1.254   -0.0775639   -0.72533
1.255   -0.0782886   -0.724147
1.256   -0.0790122   -0.722963
1.257   -0.0797346   -0.721776
1.258   -0.0804557   -0.720588
1.259   -0.0811757   -0.719397
1.26   -0.0818945   -0.718204
1.261   -0.0826121   -0.71701
1.262   -0.0833286   -0.715813
1.263   -0.0840438   -0.714614
1.264   -0.0847578   -0.713414
1.265   -0.0854706   -0.712211
1.266   -0.0861822   -0.711006
1.267   -0.0868926   -0.709799
1.268   -0.0876018   -0.70859
1.269   -0.0883098   -0.70738
1.27   -0.0890166   -0.706167
1.271   -0.0897221   -0.704952
1.272   -0.0904265   -0.703735
1.273   -0.0911296   -0.702516
1.274   -0.0918315   -0.701296
1.275   -0.0925322   -0.700073
1.276   -0.0932316   -0.698848
1.277   -0.0939299   -0.697622
1.278   -0.0946269   -0.696393
1.279   -0.0953227   -0.695162
1.28   -0.0960172   -0.69393
1.281   -0.0967105   -0.692695
1.282   -0.0974026   -0.691459
1.283   -0.0980934   -0.69022
1.284   -0.098783   -0.68898
1.285   -0.0994714   -0.687737
1.286   -0.100159   -0.686493
1.287   -0.100844   -0.685247
1.288   -0.101529   -0.683999
1.289   -0.102212   -0.682749
1.29   -0.102894   -0.681497
1.291   -0.103575   -0.680243
1.292   -0.104255   -0.678987
1.293   -0.104933   -0.677729
1.294   -0.10561   -0.67647
1.295   -0.106286   -0.675208
1.296   -0.106961   -0.673945
1.297   -0.107634   -0.67268
1.298   -0.108306   -0.671413
1.299   -0.108977   -0.670143
1.3   -0.109647   -0.668873
1.301   -0.110315   -0.6676
1.302   -0.110982   -0.666325
1.303   -0.111647   -0.665049
1.304   -0.112312   -0.66377
1.305   -0.112975   -0.66249
1.306   -0.113637   -0.661208
1.307   -0.114297   -0.659924
1.308   -0.114957   -0.658638
1.309   -0.115615   -0.657351
1.31   -0.116271   -0.656061
1.311   -0.116927   -0.65477
1.312   -0.117581   -0.653477
1.313   -0.118234   -0.652182
1.314   -0.118885   -0.650885
1.315   -0.119535   -0.649587
1.316   -0.120184   -0.648286
1.317   -0.120832   -0.646984
1.318   -0.121478   -0.64568
1.319   -0.122123   -0.644374
1.32   -0.122767   -0.643067
1.321   -0.12341   -0.641757
1.322   -0.124051   -0.640446
1.323   -0.12469   -0.639134
1.324   -0.125329   -0.637819
1.325   -0.125966   -0.636503
1.326   -0.126602   -0.635184
1.327   -0.127236   -0.633864
1.328   -0.12787   -0.632543
1.329   -0.128502   -0.631219
1.33   -0.129132   -0.629894
1.331   -0.129761   -0.628567
1.332   -0.130389   -0.627239
1.333   -0.131016   -0.625908
1.334   -0.131641   -0.624576
1.335   -0.132265   -0.623243
1.336   -0.132888   -0.621907
1.337   -0.133509   -0.62057
1.338   -0.134129   -0.619231
1.339   -0.134747   -0.61789
1.34   -0.135364   -0.616548
1.341   -0.13598   -0.615204
1.342   -0.136595   -0.613858
1.343   -0.137208   -0.612511
1.344   -0.13782   -0.611162
1.345   -0.13843   -0.609811
1.346   -0.139039   -0.608459
1.347   -0.139647   -0.607105
1.348   -0.140254   -0.605749
1.349   -0.140859   -0.604392
1.35   -0.141462   -0.603033
1.351   -0.142065   -0.601673
1.352   -0.142666   -0.60031
1.353   -0.143265   -0.598946
1.354   -0.143864   -0.597581
1.355   -0.144461   -0.596214
1.356   -0.145056   -0.594845
1.357   -0.14565   -0.593475
1.358   -0.146243   -0.592103
1.359   -0.146834   -0.590729
1.36   -0.147425   -0.589354
1.361   -0.148013   -0.587978
1.362   -0.1486   -0.586599
1.363   -0.149186   -0.585219
1.364   -0.149771   -0.583838
1.365   -0.150354   -0.582455
1.366   -0.150936   -0.58107
1.367   -0.151516   -0.579684
1.368   -0.152095   -0.578297
1.369   -0.152673   -0.576907
1.37   -0.153249   -0.575517
1.371   -0.153824   -0.574124
1.372   -0.154397   -0.57273
1.373   -0.154969   -0.571335
1.374   -0.15554   -0.569938
1.375   -0.156109   -0.56854
1.376   -0.156677   -0.56714
1.377   -0.157243   -0.565738
1.378   -0.157808   -0.564335
1.379   -0.158372   -0.562931
1.38   -0.158934   -0.561525
1.381   -0.159495   -0.560118
1.382   -0.160055   -0.558709
1.383   -0.160613   -0.557298
1.384   -0.161169   -0.555887
1.385   -0.161724   -0.554473
1.386   -0.162278   -0.553059
1.387   -0.16283   -0.551642
1.388   -0.163381   -0.550225
1.389   -0.163931   -0.548806
1.39   -0.164479   -0.547385
1.391   -0.165026   -0.545963
1.392   -0.165571   -0.54454
1.393   -0.166115   -0.543115
1.394   -0.166657   -0.541689
1.395   -0.167198   -0.540261
1.396   -0.167738   -0.538832
1.397   -0.168276   -0.537402
1.398   -0.168813   -0.53597
1.399   -0.169348   -0.534537
1.4   -0.169882   -0.533102
1.401   -0.170414   -0.531666
1.402   -0.170945   -0.530229
1.403   -0.171474   -0.528791
1.404   -0.172002   -0.52735
1.405   -0.172529   -0.525909
1.406   -0.173054   -0.524466
1.407   -0.173578   -0.523022
1.408   -0.1741   -0.521577
1.409   -0.174621   -0.52013
1.41   -0.175141   -0.518682
1.411   -0.175659   -0.517233
1.412   -0.176175   -0.515782
1.413   -0.17669   -0.51433
1.414   -0.177204   -0.512877
1.415   -0.177716   -0.511422
1.416   -0.178227   -0.509966
1.417   -0.178736   -0.508509
1.418   -0.179244   -0.507051
1.419   -0.17975   -0.505591
1.42   -0.180255   -0.50413
1.421   -0.180758   -0.502668
1.422   -0.18126   -0.501204
1.423   -0.181761   -0.49974
1.424   -0.18226   -0.498274
1.425   -0.182757   -0.496806
1.426   -0.183253   -0.495338
1.427   -0.183748   -0.493868
1.428   -0.184241   -0.492397
1.429   -0.184733   -0.490925
1.43   -0.185223   -0.489452
1.431   -0.185712   -0.487978
1.432   -0.186199   -0.486502
1.433   -0.186685   -0.485025
1.434   -0.187169   -0.483547
1.435   -0.187652   -0.482068
1.436   -0.188133   -0.480587
1.437   -0.188613   -0.479106
1.438   -0.189091   -0.477623
1.439   -0.189568   -0.476139
1.44   -0.190043   -0.474654
1.441   -0.190517   -0.473168
1.442   -0.19099   -0.47168
1.443   -0.191461   -0.470192
1.444   -0.19193   -0.468702
1.445   -0.192398   -0.467212
1.446   -0.192865   -0.46572
1.447   -0.19333   -0.464227
1.448   -0.193793   -0.462733
1.449   -0.194255   -0.461238
1.45   -0.194715   -0.459742
1.451   -0.195174   -0.458245
1.452   -0.195632   -0.456746
1.453   -0.196088   -0.455247
1.454   -0.196542   -0.453746
1.455   -0.196995   -0.452245
1.456   -0.197447   -0.450742
1.457   -0.197897   -0.449239
1.458   -0.198345   -0.447734
1.459   -0.198792   -0.446228
1.46   -0.199238   -0.444722
1.461   -0.199682   -0.443214
1.462   -0.200124   -0.441705
1.463   -0.200565   -0.440195
1.464   -0.201005   -0.438685
1.465   -0.201443   -0.437173
1.466   -0.201879   -0.43566
1.467   -0.202314   -0.434147
1.468   -0.202747   -0.432632
1.469   -0.203179   -0.431116
1.47   -0.20361   -0.4296
1.471   -0.204038   -0.428082
1.472   -0.204466   -0.426564
1.473   -0.204892   -0.425044
1.474   -0.205316   -0.423524
1.475   -0.205739   -0.422003
1.476   -0.20616   -0.420481
1.477   -0.20658   -0.418957
1.478   -0.206998   -0.417433
1.479   -0.207414   -0.415908
1.48   -0.20783   -0.414383
1.481   -0.208243   -0.412856
1.482   -0.208655   -0.411328
1.483   -0.209066   -0.4098
1.484   -0.209475   -0.40827
1.485   -0.209882   -0.40674
1.486   -0.210288   -0.405209
1.487   -0.210693   -0.403677
1.488   -0.211096   -0.402145
1.489   -0.211497   -0.400611
1.49   -0.211897   -0.399077
1.491   -0.212295   -0.397541
1.492   -0.212692   -0.396005
1.493   -0.213087   -0.394468
1.494   -0.213481   -0.392931
1.495   -0.213873   -0.391392
1.496   -0.214264   -0.389853
1.497   -0.214653   -0.388313
1.498   -0.21504   -0.386772
1.499   -0.215426   -0.385231
1.5   -0.215811   -0.383688
1.501   -0.216194   -0.382145
1.502   -0.216575   -0.380601
1.503   -0.216955   -0.379057
1.504   -0.217333   -0.377511
1.505   -0.21771   -0.375965
1.506   -0.218085   -0.374418
1.507   -0.218459   -0.372871
1.508   -0.218831   -0.371323
1.509   -0.219201   -0.369774
1.51   -0.21957   -0.368224
1.511   -0.219938   -0.366674
1.512   -0.220304   -0.365123
1.513   -0.220668   -0.363571
1.514   -0.221031   -0.362019
1.515   -0.221392   -0.360466
1.516   -0.221752   -0.358912
1.517   -0.22211   -0.357358
1.518   -0.222467   -0.355803
1.519   -0.222822   -0.354248
1.52   -0.223175   -0.352691
1.521   -0.223527   -0.351135
1.522   -0.223877   -0.349577
1.523   -0.224226   -0.348019
1.524   -0.224573   -0.346461
1.525   -0.224919   -0.344901
1.526   -0.225263   -0.343341
1.527   -0.225606   -0.341781
1.528   -0.225947   -0.34022
1.529   -0.226286   -0.338659
1.53   -0.226624   -0.337097
1.531   -0.22696   -0.335534
1.532   -0.227295   -0.333971
1.533   -0.227628   -0.332407
1.534   -0.22796   -0.330843
1.535   -0.22829   -0.329278
1.536   -0.228619   -0.327713
1.537   -0.228945   -0.326147
1.538   -0.229271   -0.324581
1.539   -0.229595   -0.323014
1.54   -0.229917   -0.321447
1.541   -0.230238   -0.319879
1.542   -0.230557   -0.318311
1.543   -0.230874   -0.316742
1.544   -0.23119   -0.315173
1.545   -0.231504   -0.313603
1.546   -0.231817   -0.312033
1.547   -0.232129   -0.310463
1.548   -0.232438   -0.308892
1.549   -0.232746   -0.307321
1.55   -0.233053   -0.305749
1.551   -0.233358   -0.304177
1.552   -0.233661   -0.302604
1.553   -0.233963   -0.301031
1.554   -0.234263   -0.299458
1.555   -0.234562   -0.297884
1.556   -0.234859   -0.29631
1.557   -0.235155   -0.294736
1.558   -0.235449   -0.293161
1.559   -0.235741   -0.291586
1.56   -0.236032   -0.290011
1.561   -0.236321   -0.288435
1.562   -0.236609   -0.286859
1.563   -0.236895   -0.285282
1.564   -0.237179   -0.283705
1.565   -0.237462   -0.282128
1.566   -0.237743   -0.280551
1.567   -0.238023   -0.278973
1.568   -0.238301   -0.277395
1.569   -0.238578   -0.275817
1.57   -0.238853   -0.274238
1.571   -0.239126   -0.27266
1.572   -0.239398   -0.271081
1.573   -0.239669   -0.269501
1.574   -0.239937   -0.267922
1.575   -0.240204   -0.266342
1.576   -0.24047   -0.264762
1.577   -0.240734   -0.263182
1.578   -0.240996   -0.261602
1.579   -0.241257   -0.260021
1.58   -0.241516   -0.25844
1.581   -0.241774   -0.256859
1.582   -0.24203   -0.255278
1.583   -0.242285   -0.253697
1.584   -0.242537   -0.252115
1.585   -0.242789   -0.250534
1.586   -0.243039   -0.248952
1.587   -0.243287   -0.24737
1.588   -0.243533   -0.245788
1.589   -0.243778   -0.244206
1.59   -0.244022   -0.242623
1.591   -0.244264   -0.241041
1.592   -0.244504   -0.239458
1.593   -0.244742   -0.237876
1.594   -0.24498   -0.236293
1.595   -0.245215   -0.23471
1.596   -0.245449   -0.233127
1.597   -0.245681   -0.231544
1.598   -0.245912   -0.229961
1.599   -0.246141   -0.228378
1.6   -0.246369   -0.226795
1.601   -0.246595   -0.225212
1.602   -0.246819   -0.223629
1.603   -0.247042   -0.222045
1.604   -0.247263   -0.220462
1.605   -0.247483   -0.218879
1.606   -0.247701   -0.217296
1.607   -0.247918   -0.215712
1.608   -0.248132   -0.214129
1.609   -0.248346   -0.212546
1.61   -0.248558   -0.210963
1.611   -0.248768   -0.20938
1.612   -0.248976   -0.207797
1.613   -0.249183   -0.206214
1.614   -0.249389   -0.204631
1.615   -0.249593   -0.203048
1.616   -0.249795   -0.201465
1.617   -0.249996   -0.199882
1.618   -0.250195   -0.1983
1.619   -0.250392   -0.196717
1.62   -0.250588   -0.195135
1.621   -0.250782   -0.193552
1.622   -0.250975   -0.19197
1.623   -0.251166   -0.190388
1.624   -0.251356   -0.188806
1.625   -0.251544   -0.187225
1.626   -0.25173   -0.185643
1.627   -0.251915   -0.184061
1.628   -0.252099   -0.18248
1.629   -0.25228   -0.180899
1.63   -0.25246   -0.179318
1.631   -0.252639   -0.177737
1.632   -0.252816   -0.176157
1.633   -0.252991   -0.174577
1.634   -0.253165   -0.172997
1.635   -0.253337   -0.171417
1.636   -0.253508   -0.169837
1.637   -0.253677   -0.168258
1.638   -0.253844   -0.166679
1.639   -0.25401   -0.1651
1.64   -0.254174   -0.163521
1.641   -0.254337   -0.161943
1.642   -0.254498   -0.160365
1.643   -0.254658   -0.158787
1.644   -0.254816   -0.157209
1.645   -0.254972   -0.155632
1.646   -0.255127   -0.154055
1.647   -0.25528   -0.152479
1.648   -0.255432   -0.150903
1.649   -0.255582   -0.149327
1.65   -0.255731   -0.147751
1.651   -0.255878   -0.146176
1.652   -0.256023   -0.144601
1.653   -0.256167   -0.143027
1.654   -0.256309   -0.141452
1.655   -0.25645   -0.139879
1.656   -0.256589   -0.138305
1.657   -0.256727   -0.136732
1.658   -0.256862   -0.13516
1.659   -0.256997   -0.133588
1.66   -0.25713   -0.132016
1.661   -0.257261   -0.130445
1.662   -0.257391   -0.128874
1.663   -0.257519   -0.127304
1.664   -0.257645   -0.125734
1.665   -0.25777   -0.124164
1.666   -0.257893   -0.122595
1.667   -0.258015   -0.121027
1.668   -0.258136   -0.119459
1.669   -0.258254   -0.117891
1.67   -0.258371   -0.116324
1.671   -0.258487   -0.114758
1.672   -0.258601   -0.113192
1.673   -0.258713   -0.111626
1.674   -0.258824   -0.110061
1.675   -0.258933   -0.108497
1.676   -0.259041   -0.106933
1.677   -0.259147   -0.10537
1.678   -0.259252   -0.103807
1.679   -0.259355   -0.102245
1.68   -0.259456   -0.100683
1.681   -0.259556   -0.0991224
1.682   -0.259655   -0.097562
1.683   -0.259751   -0.0960022
1.684   -0.259847   -0.0944431
1.685   -0.25994   -0.0928845
1.686   -0.260032   -0.0913266
1.687   -0.260123   -0.0897694
1.688   -0.260212   -0.0882127
1.689   -0.260299   -0.0866568
1.69   -0.260385   -0.0851015
1.691   -0.260469   -0.0835468
1.692   -0.260552   -0.0819929
1.693   -0.260633   -0.0804396
1.694   -0.260713   -0.078887
1.695   -0.260791   -0.0773351
1.696   -0.260868   -0.075784
1.697   -0.260943   -0.0742335
1.698   -0.261016   -0.0726838
1.699   -0.261088   -0.0711348
1.7   -0.261159   -0.0695866
1.701   -0.261227   -0.0680391
1.702   -0.261295   -0.0664924
1.703   -0.26136   -0.0649464
1.704   -0.261425   -0.0634012
1.705   -0.261487   -0.0618568
1.706   -0.261548   -0.0603132
1.707   -0.261608   -0.0587704
1.708   -0.261666   -0.0572284
1.709   -0.261722   -0.0556872
1.71   -0.261777   -0.0541469
1.711   -0.261831   -0.0526073
1.712   -0.261882   -0.0510686
1.713   -0.261933   -0.0495308
1.714   -0.261981   -0.0479938
1.715   -0.262029   -0.0464577
1.716   -0.262074   -0.0449225
1.717   -0.262118   -0.0433881
1.718   -0.262161   -0.0418546
1.719   -0.262202   -0.040322
1.72   -0.262242   -0.0387904
1.721   -0.26228   -0.0372596
1.722   -0.262316   -0.0357298
1.723   -0.262351   -0.0342009
1.724   -0.262385   -0.0326729
1.725   -0.262417   -0.0311459
1.726   -0.262447   -0.0296198
1.727   -0.262476   -0.0280947
1.728   -0.262503   -0.0265706
1.729   -0.262529   -0.0250474
1.73   -0.262553   -0.0235253
1.731   -0.262576   -0.0220041
1.732   -0.262597   -0.0204839
1.733   -0.262617   -0.0189648
1.734   -0.262635   -0.0174466
1.735   -0.262652   -0.0159295
1.736   -0.262667   -0.0144134
1.737   -0.262681   -0.0128984
1.738   -0.262693   -0.0113844
1.739   -0.262703   -0.00987152
1.74   -0.262713   -0.00835967
1.741   -0.26272   -0.0068489
1.742   -0.262726   -0.00533922
1.743   -0.262731   -0.00383062
1.744   -0.262734   -0.00232313
1.745   -0.262736   -0.000816754
1.746   -0.262736   0.000688509
1.747   -0.262734   0.00219265
1.748   -0.262731   0.00369565
1.749   -0.262727   0.00519751
1.75   -0.262721   0.00669822
1.751   -0.262713   0.00819777
1.752   -0.262704   0.00969615
1.753   -0.262694   0.0111934
1.754   -0.262682   0.0126894
1.755   -0.262669   0.0141842
1.756   -0.262654   0.0156779
1.757   -0.262637   0.0171703
1.758   -0.262619   0.0186615
1.759   -0.2626   0.0201515
1.76   -0.262579   0.0216402
1.761   -0.262557   0.0231278
1.762   -0.262533   0.024614
1.763   -0.262507   0.026099
1.764   -0.262481   0.0275828
1.765   -0.262452   0.0290653
1.766   -0.262422   0.0305464
1.767   -0.262391   0.0320264
1.768   -0.262358   0.033505
1.769   -0.262324   0.0349823
1.77   -0.262288   0.0364582
1.771   -0.262251   0.0379329
1.772   -0.262213   0.0394062
1.773   -0.262172   0.0408782
1.774   -0.262131   0.0423489
1.775   -0.262088   0.0438182
1.776   -0.262043   0.0452861
1.777   -0.261997   0.0467527
1.778   -0.26195   0.0482178
1.779   -0.261901   0.0496816
1.78   -0.26185   0.051144
1.781   -0.261798   0.052605
1.782   -0.261745   0.0540646
1.783   -0.26169   0.0555228
1.784   -0.261634   0.0569795
1.785   -0.261576   0.0584348
1.786   -0.261517   0.0598887
1.787   -0.261457   0.0613411
1.788   -0.261394   0.062792
1.789   -0.261331   0.0642415
1.79   -0.261266   0.0656895
1.791   -0.2612   0.067136
1.792   -0.261132   0.068581
1.793   -0.261062   0.0700245
1.794   -0.260992   0.0714665
1.795   -0.260919   0.072907
1.796   -0.260846   0.074346
1.797   -0.260771   0.0757834
1.798   -0.260694   0.0772193
1.799   -0.260616   0.0786537
1.8   -0.260537   0.0800865
1.801   -0.260456   0.0815177
