t:      g:         g':       Integral:
13.1   -0.00155161   0.00126534   9.99376
13.2   -0.00142389   0.00128642   9.99234
13.3   -0.0012948   0.00129326   9.99105
13.4   -0.00116567   0.00128716   9.98988
13.5   -0.00103775   0.0012694   9.98884
13.6   -0.000912139   0.00124125   9.98793
13.7   -0.000789806   0.00120399   9.98714
13.8   -0.000671605   0.00115882   9.98647
13.9   -0.000558267   0.00110693   9.98591
14   -0.000450405   0.00104945   9.98546
14.1   -0.000348526   0.00098747   9.98511
14.2   -0.000253028   0.000921995   9.98486
14.3   -0.000164211   0.000853984   9.98469
14.4   -8.22855e-005   0.000784325   9.98461
14.5   -7.3736e-006   0.000713838   9.98461
14.6   6.04796e-005   0.00064327   9.98467
14.7   0.000121301   0.000573302   9.98479
14.8   0.00017518   0.000504541   9.98496
14.9   0.000222267   0.000437526   9.98518
15   0.00026276   0.000372728   9.98545
15.1   0.0002969   0.000310553   9.98574
15.2   0.000324969   0.000251341   9.98607
15.3   0.000347277   0.000195374   9.98642
15.4   0.00036416   0.000142876   9.98678
15.5   0.000375973   9.40148e-005   9.98716
15.6   0.000383088   4.89096e-005   9.98754
15.7   0.000385883   7.6316e-006   9.98793
15.8   0.000384743   -2.97908e-005   9.98831
15.9   0.000380053   -6.33688e-005   9.98869
16   0.000372196   -9.31488e-005   9.98906
16.1   0.000361548   -0.000119209   9.98942
16.2   0.000348475   -0.000141656   9.98977
16.3   0.000333332   -0.00016062   9.99011
16.4   0.000316462   -0.000176252   9.99042
16.5   0.000298187   -0.000188721   9.99072
16.6   0.000278817   -0.000198208   9.991
16.7   0.000258639   -0.000204909   9.99126
16.8   0.000237921   -0.000209023   9.9915
16.9   0.000216913   -0.000210758   9.99171
17   0.000195842   -0.000210324   9.99191
17.1   0.000174914   -0.000207932   9.99208
17.2   0.000154314   -0.00020379   9.99224
17.3   0.000134207   -0.000198105   9.99237
17.4   0.000114738   -0.000191077   9.99249
17.5   9.60303e-005   -0.0001829   9.99258
17.6   7.81899e-005   -0.000173763   9.99266
17.7   6.13037e-005   -0.000163844   9.99272
17.8   4.54416e-005   -0.00015331   9.99277
17.9   3.06569e-005   -0.000142321   9.9928
18   1.69876e-005   -0.000131025   9.99282
18.1   4.45758e-006   -0.000119557   9.99282
18.2   -6.92241e-006   -0.000108045   9.99281
18.3   -1.71536e-005   -9.66e-005   9.9928
18.4   -2.62481e-005   -8.5326e-005   9.99277
18.5   -3.42276e-005   -7.43136e-005   9.99274
18.6   -4.11223e-005   -6.36426e-005   9.99269
18.7   -4.69698e-005   -5.33819e-005   9.99265
18.8   -5.18143e-005   -4.359e-005   9.9926
18.9   -5.57051e-005   -3.43155e-005   9.99254
19   -5.8696e-005   -2.55973e-005   9.99248
19.1   -6.08441e-005   -1.74654e-005   9.99242
19.2   -6.22093e-005   -9.94126e-006   9.99236
19.3   -6.28531e-005   -3.0386e-006   9.99229
19.4   -6.2838e-005   3.23607e-006   9.99223
19.5   -6.22268e-005   8.88286e-006   9.99217
19.6   -6.10822e-005   1.39078e-005   9.99211
19.7   -5.94656e-005   1.83224e-005   9.99205
19.8   -5.74375e-005   2.21426e-005   9.99199
19.9   -5.50563e-005   2.53887e-005   9.99194
20   -5.23781e-005   2.80846e-005   9.99188
20.1   -4.94568e-005   3.02568e-005   9.99183
20.2   -4.63432e-005   3.19346e-005   9.99179
20.3   -4.30853e-005   3.31492e-005   9.99175
20.4   -3.97278e-005   3.39329e-005   9.99171
20.5   -3.6312e-005   3.43195e-005   9.99167
20.6   -3.2876e-005   3.43429e-005   9.99164
20.7   -2.94544e-005   3.40375e-005   9.99161
20.8   -2.60783e-005   3.34376e-005   9.99158
20.9   -2.27755e-005   3.25768e-005   9.99156
21   -1.95705e-005   3.14882e-005   9.99154
21.1   -1.64844e-005   3.02038e-005   9.99152
21.2   -1.35353e-005   2.87544e-005   9.99151
21.3   -1.07381e-005   2.71695e-005   9.9915
21.4   -8.10494e-006   2.54772e-005   9.99149
21.5   -5.64533e-006   2.37036e-005   9.99148
21.6   -3.36611e-006   2.18734e-005   9.99148
21.7   -1.27177e-006   2.00094e-005   9.99148
21.8   6.35351e-007   1.81326e-005   9.99148
21.9   2.35495e-006   1.62619e-005   9.99148
22   3.88851e-006   1.44146e-005   9.99149
22.1   5.23917e-006   1.26061e-005   9.99149
22.2   6.41147e-006   1.08498e-005   9.9915
22.3   7.41126e-006   9.15743e-006   9.99151
22.4   8.24543e-006   7.53908e-006   9.99151
22.5   8.92182e-006   6.00305e-006   9.99152
22.6   9.44901e-006   4.55611e-006   9.99153
22.7   9.83619e-006   3.20354e-006   9.99154
22.8   1.0093e-005   1.94923e-006   9.99155
22.9   1.02294e-005   7.95745e-007   9.99156
23   1.02556e-005   -2.55536e-007   9.99157
23.1   1.01817e-005   -1.20434e-006   9.99158
23.2   1.00181e-005   -2.05141e-006   9.99159
23.3   9.77477e-006   -2.79836e-006   9.9916
23.4   9.46167e-006   -3.44763e-006   9.99161
23.5   9.0884e-006   -4.00232e-006   9.99162
23.6   8.66423e-006   -4.46617e-006   9.99163
23.7   8.19805e-006   -4.84342e-006   9.99164
23.8   7.69828e-006   -5.13872e-006   9.99165
23.9   7.17287e-006   -5.35705e-006   9.99165
24   6.62926e-006   -5.50367e-006   9.99166
24.1   6.07435e-006   -5.584e-006   9.99167
24.2   5.51449e-006   -5.6036e-006   9.99167
24.3   4.95547e-006   -5.56805e-006   9.99168
24.4   4.40253e-006   -5.48294e-006   9.99168
24.5   3.86035e-006   -5.35379e-006   9.99168
24.6   3.33306e-006   -5.18603e-006   9.99169
24.7   2.82425e-006   -4.98493e-006   9.99169
24.8   2.33701e-006   -4.75556e-006   9.99169
24.9   1.87392e-006   -4.5028e-006   9.99169
25   1.43708e-006   -4.23129e-006   9.9917
25.1   1.02814e-006   -3.94537e-006   9.9917
25.2   6.48347e-007   -3.64915e-006   9.9917
25.3   2.98528e-007   -3.34643e-006   9.9917
25.4   -2.08393e-008   -3.04069e-006   9.9917
25.5   -3.09617e-007   -2.73514e-006   9.9917
25.6   -5.6797e-007   -2.43265e-006   9.9917
25.7   -7.96336e-007   -2.13582e-006   9.9917
25.8   -9.954e-007   -1.84693e-006   9.9917
25.9   -1.16605e-006   -1.56797e-006   9.99169
26   -1.30938e-006   -1.30065e-006   9.99169
26.1   -1.42662e-006   -1.0464e-006   9.99169
26.2   -1.51914e-006   -8.06394e-007   9.99169
26.3   -1.58841e-006   -5.81561e-007   9.99169
26.4   -1.63598e-006   -3.72594e-007   9.99169
26.5   -1.66347e-006   -1.79971e-007   9.99168
