t:      g:         g':       Integral:
56.5   -6.04611e-013   4.28107e-013   9.99167
56.6   -5.61017e-013   4.42806e-013   9.99167
56.7   -5.16237e-013   4.51897e-013   9.99167
56.8   -4.70809e-013   4.55825e-013   9.99167
56.9   -4.25229e-013   4.55046e-013   9.99167
57   -3.79942e-013   4.50013e-013   9.99167
57.1   -3.35353e-013   4.41181e-013   9.99167
57.2   -2.91818e-013   4.28995e-013   9.99167
57.3   -2.49651e-013   4.13889e-013   9.99167
57.4   -2.09123e-013   3.96285e-013   9.99167
57.5   -1.70464e-013   3.76589e-013   9.99167
57.6   -1.33862e-013   3.55186e-013   9.99167
57.7   -9.9471e-014   3.32442e-013   9.99167
57.8   -6.74069e-014   3.08702e-013   9.99167
57.9   -3.77531e-014   2.84286e-013   9.99167
58   -1.05622e-014   2.5949e-013   9.99167
58.1   1.41415e-014   2.34587e-013   9.99167
58.2   3.63599e-014   2.09823e-013   9.99167
58.3   5.61182e-014   1.8542e-013   9.99167
58.4   7.34626e-014   1.61577e-013   9.99167
58.5   8.84581e-014   1.38466e-013   9.99167
58.6   1.01185e-013   1.16238e-013   9.99167
58.7   1.11739e-013   9.50203e-014   9.99167
58.8   1.20227e-013   7.4918e-014   9.99167
58.9   1.26763e-013   5.60163e-014   9.99167
59   1.31472e-013   3.83808e-014   9.99167
59.1   1.34483e-013   2.20585e-014   9.99167
59.2   1.35929e-013   7.07981e-015   9.99167
59.3   1.35944e-013   -6.54082e-015   9.99167
59.4   1.34666e-013   -1.88031e-014   9.99167
59.5   1.32229e-013   -2.97196e-014   9.99167
59.6   1.28766e-013   -3.93148e-014   9.99167
59.7   1.24409e-013   -4.7623e-014   9.99167
59.8   1.19283e-013   -5.46878e-014   9.99167
59.9   1.13511e-013   -6.05603e-014   9.99167
60   1.07209e-013   -6.52981e-014   9.99167
60.1   1.00487e-013   -6.89642e-014   9.99167
60.2   9.34494e-014   -7.16256e-014   9.99167
60.3   8.6193e-014   -7.33528e-014   9.99167
60.4   7.88075e-014   -7.42181e-014   9.99167
60.5   7.13756e-014   -7.42954e-014   9.99167
60.6   6.39723e-014   -7.36589e-014   9.99167
60.7   5.66652e-014   -7.23826e-014   9.99167
60.8   4.95146e-014   -7.05396e-014   9.99167
60.9   4.25737e-014   -6.82012e-014   9.99167
61   3.58886e-014   -6.54368e-014   9.99167
61.1   2.94984e-014   -6.23133e-014   9.99167
61.2   2.34358e-014   -5.88946e-014   9.99167
61.3   1.77272e-014   -5.52412e-014   9.99167
61.4   1.23934e-014   -5.14102e-014   9.99167
61.5   7.44934e-015   -4.7455e-014   9.99167
61.6   2.90491e-015   -4.34249e-014   9.99167
61.7   -1.23468e-015   -3.93654e-014   9.99167
61.8   -4.96859e-015   -3.5318e-014   9.99167
61.9   -8.29993e-015   -3.13199e-014   9.99167
62   -1.12353e-014   -2.74045e-014   9.99167
62.1   -1.37846e-014   -2.36011e-014   9.99167
62.2   -1.59601e-014   -1.99352e-014   9.99167
62.3   -1.77769e-014   -1.64286e-014   9.99167
62.4   -1.92518e-014   -1.30996e-014   9.99167
62.5   -2.04033e-014   -9.96274e-015   9.99167
62.6   -2.12512e-014   -7.02969e-015   9.99167
62.7   -2.18163e-014   -4.30892e-015   9.99167
62.8   -2.21202e-014   -1.80609e-015   9.99167
62.9   -2.21849e-014   4.75741e-016   9.99167
63   -2.20325e-014   2.5359e-015   9.99167
63.1   -2.1685e-014   4.3759e-015   9.99167
63.2   -2.11645e-014   5.99919e-015   9.99167
63.3   -2.04923e-014   7.41096e-015   9.99167
63.4   -1.96891e-014   8.61792e-015   9.99167
63.5   -1.87752e-014   9.62808e-015   9.99167
63.6   -1.77698e-014   1.04506e-014   9.99167
63.7   -1.66911e-014   1.10954e-014   9.99167
63.8   -1.55563e-014   1.15734e-014   9.99167
63.9   -1.43816e-014   1.18958e-014   9.99167
64   -1.31819e-014   1.20745e-014   9.99167
64.1   -1.19711e-014   1.21213e-014   9.99167
64.2   -1.07616e-014   1.20485e-014   9.99167
64.3   -9.56495e-015   1.1868e-014   9.99167
64.4   -8.39121e-015   1.15918e-014   9.99167
64.5   -7.24938e-015   1.12317e-014   9.99167
64.6   -6.14728e-015   1.07991e-014   9.99167
64.7   -5.09161e-015   1.0305e-014   9.99167
64.8   -4.08798e-015   9.75987e-015   9.99167
64.9   -3.141e-015   9.17384e-015   9.99167
65   -2.25426e-015   8.55636e-015   9.99167
65.1   -1.43048e-015   7.91627e-015   9.99167
65.2   -6.71484e-016   7.26183e-015   9.99167

Integral con error menor de 1e-030:
9.99167
