0   1   1  1  1  1
5   1.00048   1.00048  1.00048  1.00048  1.00048
10   1.00191   1.00191  1.00191  1.00191  1.00191
15   1.0043   1.0043  1.0043  1.0043  1.0043
20   1.00767   1.00767  1.00767  1.00768  1.00767
25   1.01203   1.01203  1.01203  1.01206  1.01203
30   1.01741   1.01741  1.01741  1.01746  1.01741
35   1.02383   1.02383  1.02383  1.02394  1.02383
40   1.03134   1.03134  1.03134  1.03152  1.03134
45   1.03997   1.03997  1.03997  1.04027  1.03997
50   1.04978   1.04978  1.04978  1.05024  1.04978
55   1.06083   1.06083  1.06083  1.06151  1.06083
60   1.07318   1.07318  1.07318  1.07417  1.07318
65   1.08692   1.08692  1.08692  1.08831  1.08692
70   1.10214   1.10214  1.10214  1.10406  1.10215
75   1.11896   1.11896  1.11896  1.12155  1.11896
80   1.13749   1.13749  1.13749  1.14093  1.1375
85   1.15789   1.15789  1.15789  1.16239  1.1579
90   1.18034   1.18034  1.18034  1.18614  1.18035
95   1.20504   1.20504  1.20504  1.2124  1.20504
100   1.23223   1.23223  1.23223  1.24145  1.23224
105   1.26221   1.26221  1.26221  1.27358  1.26222
110   1.29534   1.29534  1.29534  1.30915  1.29534
115   1.33205   1.33205  1.33205  1.3485  1.33204
120   1.37288   1.37288  1.37288  1.39204  1.37284
125   1.41851   1.41851  1.41851  1.44012  1.41841
130   1.46982   1.46982  1.46982  1.4931  1.46961
135   1.52795   1.52795  1.52795  1.55118  1.52757
140   1.59445   1.59445  1.59444  1.61436  1.59385
145   1.67148   1.67148  1.67147  1.68223  1.67073
150   1.7622   1.7622  1.76216  1.7537  1.76171
